species,APC_name,family
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,Araliaceae
Cassinia nivalis Orchard,Cassinia nivalis,Asteraceae
Cassinia tegulata Orchard,Cassinia tegulata,Asteraceae
Erigeron conyzoides F.Muell.,Erigeron conyzoides,Asteraceae
Eriochlamys squamata N.G.Walsh,Eriochlamys squamata,Asteraceae
Ethuliopsis cunninghamii (Hook.) F.Muell.,Ethuliopsis cunninghamii,Asteraceae
Haegiela tatei (F.Muell.) P.S.Short & Paul G.Wilson,Haegiela tatei,Asteraceae
Hyalosperma stoveae (D.A.Cooke) Paul G.Wilson,Hyalosperma stoveae,Asteraceae
Olearia aglossa (Maiden & Betche) Lander,Olearia aglossa,Asteraceae
Podolepis laevigata Gand.,Podolepis laevigata,Asteraceae
Senecio glabrescens (DC.) Sch.Bip.,Senecio glabrescens,Asteraceae
Senecio halophilus I.Thomps.,Senecio halophilus,Asteraceae
Senecio longicollaris I.Thomps.,Senecio longicollaris,Asteraceae
Senecio niveoplanus I.Thomps.,Senecio niveoplanus,Asteraceae
Senecio pilosicristus I.Thomps.,Senecio pilosicristus,Asteraceae
Trichanthodium baracchianum (Ewart & Jean White) P.S.Short,Trichanthodium baracchianum,Asteraceae
Vittadinia condyloides N.T.Burb.,Vittadinia condyloides,Asteraceae
Plagiobothrys elachanthus (F.Muell.) I.M.Johnst.,Plagiobothrys elachanthus,Boraginaceae
Cardamine franklinensis I.Thomps.,Cardamine franklinensis,Brassicaceae
Lepidium desvauxii Thell.,Lepidium desvauxii,Brassicaceae
Microlepidium pilosulum F.Muell.,Microlepidium pilosulum,Brassicaceae
Phlegmatospermum eremaeum (J.M.Black) E.A.Shaw,Phlegmatospermum eremaeum,Brassicaceae
Stellaria papillata C.H.Mill. & J.G.West,Stellaria papillata,Caryophyllaceae
Atriplex papillata J.H.Willis,Atriplex papillata,Chenopodiaceae
Sclerolaena articulata (J.M.Black) A.J.Scott,Sclerolaena articulata,Chenopodiaceae
Convolvulus recurvatus R.W.Johnson,Convolvulus recurvatus,Convolvulaceae
Carex alsophila F.Muell.,Carex alsophila,Cyperaceae
Cyperus nervulosus (Kük.) S.T.Blake,Cyperus nervulosus,Cyperaceae
Isolepis alpina Hook.f.,Isolepis alpina,Cyperaceae
Isolepis wakefieldiana (S.T.Blake) K.L.Wilson,Isolepis wakefieldiana,Cyperaceae
Lepidosperma forsythii A.A.Ham.,Lepidosperma forsythii,Cyperaceae
"Lepidosperma hispidulum G.T.Plunkett, J.J.Bruhl & K.L.Wilson",Lepidosperma hispidulum,Cyperaceae
Lepidosperma lineare R.Br.,Lepidosperma lineare,Cyperaceae
Machaerina laxa (Nees) T.Koyama,Machaerina laxa,Cyperaceae
Schoenus fluitans Hook.f.,Schoenus fluitans,Cyperaceae
Schoenus laevigatus W.Fitzg.,Schoenus laevigatus,Cyperaceae
Schoenus racemosus J.M.Black,Schoenus racemosus,Cyperaceae
Schoenus sculptus (Nees) Boeckeler,Schoenus sculptus,Cyperaceae
Hibbertia notabilis Toelken,Hibbertia notabilis,Dilleniaceae
Hibbertia sessiliflora Toelken,Hibbertia sessiliflora,Dilleniaceae
Hibbertia torulosa Toelken,Hibbertia torulosa,Dilleniaceae
Leucopogon riparius N.A.Wakef.,Leucopogon riparius,Ericaceae
Monotoca oreophila Albr.,Monotoca oreophila,Ericaceae
Acacia daviesii M.Bartolome,Acacia daviesii,Fabaceae
Acacia infecunda Molyneux & Forrester,Acacia infecunda,Fabaceae
Acacia nanopravissima Molyneux & Forrester,Acacia nanopravissima,Fabaceae
Acacia tabula Molyneux & Forrester,Acacia tabula,Fabaceae
Swainsona adenophylla J.M.Black,Swainsona adenophylla,Fabaceae
Haloragis eichleri Orchard,Haloragis eichleri,Haloragaceae
Haloragis myriocarpa Orchard,Haloragis myriocarpa,Haloragaceae
Myriophyllum amphibium Labill.,Myriophyllum amphibium,Haloragaceae
Myriophyllum glomeratum Schindl.,Myriophyllum glomeratum,Haloragaceae
Myriophyllum lophatum Orchard,Myriophyllum lophatum,Haloragaceae
Hypoxis exilis R.J.F.Hend.,Hypoxis exilis,Hypoxidaceae
Juncus brevibracteus L.A.S.Johnson,Juncus brevibracteus,Juncaceae
Triglochin trichophora Nees,Triglochin trichophora,Juncaginaceae
Teucrium thieleanum B.J.Conn,Teucrium thieleanum,Lamiaceae
Callistemon genofluvialis Molyneux,Callistemon genofluvialis,Myrtaceae
Callistemon nyallingensis Molyneux,Callistemon nyallingensis,Myrtaceae
Eucalyptus bunyip Rule,Eucalyptus bunyip,Myrtaceae
Eucalyptus conferta Rule,Eucalyptus conferta,Myrtaceae
Eucalyptus filiformis Rule,Eucalyptus filiformis,Myrtaceae
