species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family,namePublishedInYear,nameInstanceType
Heliotropium fasciculatum R.Br.,Heliotropium fasciculatum,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Boraginaceae,1810,tax. nov.
Heliotropium foliatum R.Br.,Heliotropium foliatum,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Boraginaceae,1810,tax. nov.
Heliotropium paniculatum R.Br.,Heliotropium paniculatum,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Boraginaceae,1810,tax. nov.
Heliotropium prostratum R.Br.,Heliotropium prostratum,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Boraginaceae,1810,tax. nov.
Acrotriche ramiflora R.Br.,Acrotriche ramiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Andersonia depressa R.Br.,Andersonia depressa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Astroloma tectum R.Br.,Astroloma tectum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Leucopogon flexifolius R.Br.,Leucopogon flexifolius,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Leucopogon imbricatus R.Br.,Leucopogon imbricatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Leucopogon rubricaulis R.Br.,Leucopogon rubricaulis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Lysinema lasianthum R.Br.,Lysinema lasianthum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ericaceae,1810,tax. nov.
Mitrasacme ambigua R.Br.,Mitrasacme ambigua,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae,1810,tax. nov.
Mitrasacme elata R.Br.,Mitrasacme elata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae,1810,tax. nov.
Anisomeles salviifolia R.Br.,Anisomeles salviifolia,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae,1810,tax. nov.
Utricularia albiflora R.Br.,Utricularia albiflora,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lentibulariaceae,1810,tax. nov.
Polymeria quadrivalvis R.Br.,Polymeria quadrivalvis,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Convolvulaceae,1810,primary reference
Crinum venosum R.Br.,Crinum venosum,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Amaryllidaceae,1810,tax. nov.
Thysanotus gracilis R.Br.,Thysanotus gracilis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asparagaceae,1810,tax. nov.
Thysanotus volubilis R.Br.,Thysanotus volubilis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asparagaceae,1810,tax. nov.
Hypoxis marginata R.Br.,Hypoxis marginata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hypoxidaceae,1810,tax. nov.
Commelina undulata R.Br.,Commelina undulata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Commelinaceae,1810,tax. nov.
Carex cataractae R.Br.,Carex cataractae,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Cyperus angustatus R.Br.,Cyperus angustatus,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Cyperus sexflorus R.Br.,Cyperus sexflorus,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Cyperus sporobolus R.Br.,Cyperus sporobolus,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fimbristylis denudata R.Br.,Fimbristylis denudata,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fimbristylis furva R.Br.,Fimbristylis furva,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fimbristylis pterigosperma R.Br.,Fimbristylis pterigosperma,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fimbristylis punctata R.Br.,Fimbristylis punctata,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fimbristylis sericea R.Br.,Fimbristylis sericea,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fimbristylis spiralis R.Br.,Fimbristylis spiralis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Fuirena arenosa R.Br.,Fuirena arenosa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Lepidosperma angustatum R.Br.,Lepidosperma angustatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Lepidosperma flexuosum R.Br.,Lepidosperma flexuosum,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Lepidosperma lineare R.Br.,Lepidosperma lineare,not present,not present,not present,not present,native,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Lepidosperma striatum R.Br.,Lepidosperma striatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Rhynchospora longisetis R.Br.,Rhynchospora longisetis,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Schoenus acuminatus R.Br.,Schoenus acuminatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Schoenus punctatus R.Br.,Schoenus punctatus,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyperaceae,1810,tax. nov.
Eriocaulon pallidum R.Br.,Eriocaulon pallidum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Eriocaulaceae,1810,tax. nov.
Chamaeraphis hordeacea R.Br.,Chamaeraphis hordeacea,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae,1810,tax. nov.
Eriachne avenacea R.Br.,Eriachne avenacea,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae,1810,tax. nov.
Eriachne capillaris R.Br.,Eriachne capillaris,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae,1810,tax. nov.
Sporobolus pulchellus R.Br.,Sporobolus pulchellus,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Poaceae,1810,tax. nov.
Chaetanthus leptocarpoides R.Br.,Chaetanthus leptocarpoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Restionaceae,1810,tax. nov.
Xyris pusilla Sol. ex R.Br.,Xyris pusilla,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xyridaceae,1810,tax. nov.
Persoonia flexifolia R.Br.,Persoonia flexifolia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Proteaceae,1810,tax. nov.
Persoonia scabra R.Br.,Persoonia scabra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Proteaceae,1810,tax. nov.
Persoonia spathulata R.Br.,Persoonia spathulata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Proteaceae,1810,tax. nov.
