species,APC_name,family
Trianthema cypseleoides (Fenzl) Benth.,Trianthema cypseleoides,Aizoaceae
Ptilotus extenuatus Benl,Ptilotus extenuatus,Amaranthaceae
Parsonsia dorrigoensis J.B.Williams,Parsonsia dorrigoensis,Apocynaceae
Wolffia globosa (Roxb.) Hartog & Plas,Wolffia globosa,Araceae
Astrotricha obovata Makinson,Astrotricha obovata,Araliaceae
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,Araliaceae
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera,Araliaceae
Brachyscome abercrombiensis P.S.Short,Brachyscome abercrombiensis,Asteraceae
Brachyscome brownii P.S.Short,Brachyscome brownii,Asteraceae
Brachyscome casstiana P.S.Short,Brachyscome casstiana,Asteraceae
Brachyscome tamworthensis P.S.Short,Brachyscome tamworthensis,Asteraceae
Brachyscome watanabei P.S.Short,Brachyscome watanabei,Asteraceae
Calotis inermis Maiden & Betche,Calotis inermis,Asteraceae
Calotis moorei P.S.Short,Calotis moorei,Asteraceae
Cassinia accipitrum Orchard,Cassinia accipitrum,Asteraceae
Cassinia furtiva Orchard,Cassinia furtiva,Asteraceae
Cassinia heleniae Orchard,Cassinia heleniae,Asteraceae
Cassinia petrapendula (Orchard) Orchard,Cassinia petrapendula,Asteraceae
Cassinia storyi (Orchard) Orchard,Cassinia storyi,Asteraceae
Cassinia tenuis (Orchard) Orchard,Cassinia tenuis,Asteraceae
Cassinia theodorii F.Muell.,Cassinia theodorii,Asteraceae
Cassinia theresae Orchard,Cassinia theresae,Asteraceae
Cymbonotus maidenii (Beauverd) A.E.Holland & V.A.Funk,Cymbonotus maidenii,Asteraceae
Dimorphocoma minutula F.Muell. & Tate,Dimorphocoma minutula,Asteraceae
Erigeron conyzoides F.Muell.,Erigeron conyzoides,Asteraceae
Eriochlamys cupularis N.G.Walsh,Eriochlamys cupularis,Asteraceae
Eriochlamys squamata N.G.Walsh,Eriochlamys squamata,Asteraceae
Ethuliopsis cunninghamii (Hook.) F.Muell.,Ethuliopsis cunninghamii,Asteraceae
Hemisteptia lyrata (Bunge) Fisch. & C.A.Mey.,Hemisteptia lyrata,Asteraceae
Iotasperma sessilifolium (F.Muell.) G.L.Nesom,Iotasperma sessilifolium,Asteraceae
Minuria annua (Tate) J.M.Black,Minuria annua,Asteraceae
Minuria scoparia P.S.Short & Hosking,Minuria scoparia,Asteraceae
Olearia aglossa (Maiden & Betche) Lander,Olearia aglossa,Asteraceae
Olearia burgessii Lander,Olearia burgessii,Asteraceae
Olearia oliganthema F.Muell. ex Benth.,Olearia oliganthema,Asteraceae
Ozothamnus tesselatus (Maiden & R.T.Baker) Anderb.,Ozothamnus tesselatus,Asteraceae
Paenula storyi Orchard,Paenula storyi,Asteraceae
Picris eichleri Lack & S.Holzapfel,Picris eichleri,Asteraceae
Pluchea baccharoides (F.Muell.) F.Muell. ex Benth.,Pluchea baccharoides,Asteraceae
Pycnosorus thompsonianus J.Everett & Doust,Pycnosorus thompsonianus,Asteraceae
Senecio daltonii F.Muell.,Senecio daltonii,Asteraceae
Senecio esleri C.J.Webb,Senecio esleri,Asteraceae
Senecio glabrescens (DC.) Sch.Bip.,Senecio glabrescens,Asteraceae
Senecio longicollaris I.Thomps.,Senecio longicollaris,Asteraceae
Senecio longipilus I.Thomps.,Senecio longipilus,Asteraceae
Senecio murrayanus Wawra,Senecio murrayanus,Asteraceae
Senecio psilophyllus I.Thomps.,Senecio psilophyllus,Asteraceae
Senecio scabrellus I.Thomps.,Senecio scabrellus,Asteraceae
Senecio tuberculatus Ali,Senecio tuberculatus,Asteraceae
Vittadinia condyloides N.T.Burb.,Vittadinia condyloides,Asteraceae
Plagiobothrys elachanthus (F.Muell.) I.M.Johnst.,Plagiobothrys elachanthus,Boraginaceae
Arabidella procumbens (Tate) E.A.Shaw,Arabidella procumbens,Brassicaceae
Cardamine franklinensis I.Thomps.,Cardamine franklinensis,Brassicaceae
Lepidium hypenantion Hewson,Lepidium hypenantion,Brassicaceae
Lepidium muelleri-ferdinandi Thell.,Lepidium muelleri-ferdinandi,Brassicaceae
Lepidium peregrinum Thell.,Lepidium peregrinum,Brassicaceae
Lepidium sagittulatum Thell.,Lepidium sagittulatum,Brassicaceae
Wahlenbergia aridicola P.J.Sm.,Wahlenbergia aridicola,Campanulaceae
Wahlenbergia rupicola G.T.Plunkett & J.J.Bruhl,Wahlenbergia rupicola,Campanulaceae
